Date,Open,High,Low,Close,Volume,OpenInt
8/18/2020,3379.25,3390.75,3365.25,3387.75,996480,2641664
8/17/2020,3366,3382.75,3364.75,3379.75,759304,2641664
8/14/2020,3369.25,3380.5,3350,3361.5,1084771,2638249
8/13/2020,3367.75,3382,3357.5,3367.75,1205758,2651273
8/12/2020,3339.5,3382.5,3326.25,3370,1408718,2648204
8/11/2020,3350.25,3379,3319.5,3330,1733040,2626558
8/10/2020,3347,3357.25,3329,3352.75,1201751,2630516
8/7/2020,3343.75,3347.75,3322.25,3344.75,1615367,2626708
8/6/2020,3317,3345.5,3300.5,3344.25,1346665,2624936
8/5/2020,3300.75,3323.25,3292,3316,1116787,2620078
8/4/2020,3290.75,3300.5,3271,3300,1145269,2621899
8/3/2020,3272,3295.5,3254.75,3288.5,1250449,2612024
7/31/2020,3269.25,3273.75,3212.5,3263.5,2282794,2624090
7/30/2020,3256.75,3269,3195,3248.75,2000721,2613918
7/29/2020,3215,3257,3204.25,3252.5,1218031,2619692
7/28/2020,3235,3246.75,3208,3213,1375293,2596804
7/27/2020,3210.75,3235,3192,3232.25,1299512,2600157
7/24/2020,3230,3239,3191.5,3204,1761346,2595372
7/23/2020,3267.75,3284.5,3214.25,3227.5,1704453,2590948
7/22/2020,3249.25,3271.75,3227.25,3265.5,1354244,2590322
7/21/2020,3243.75,3273.25,3239.25,3251.25,1463931,2583172
7/20/2020,3214.5,3250.5,3190.25,3245.25,1401168,2596046
7/17/2020,3198.5,3225.25,3194.75,3214,1261113,2597898
7/16/2020,3223.25,3228.5,3188.5,3194.5,1471311,2596956
7/15/2020,3204,3233.25,3192,3219.5,1937696,2580635
7/14/2020,3149.75,3192.25,3119,3183.5,2256766,2576124
7/13/2020,3183.5,3226.25,3140.5,3148.25,2074726,2575332
7/10/2020,3142.25,3181.25,3111.5,3178.5,1408591,2569914
7/9/2020,3166.25,3170.75,3105.25,3141,1881833,2577231
7/8/2020,3135.25,3166.25,3125.5,3163.5,1527612,2561441
7/7/2020,3170,3184,3132.5,3136.5,1333466,2568944
7/6/2020,3125.25,3174.5,3105.75,3172,1459512,2576791
7/2/2020,3101.75,3156.5,3095.5,3129,1552517,2567680
7/1/2020,3085.25,3117.75,3062.75,3103,1537321,2563324
6/30/2020,3046,3101.25,3030.25,3090.25,1724164,2599189
6/29/2020,2986.25,3051.25,2983.5,3047.75,1585146,2606208
6/26/2020,3071.25,3082,2992.5,3007,2208418,2597591
6/25/2020,3046.75,3079.5,3005,3070.75,1967245,2567042
6/24/2020,3113.25,3128.5,3019.75,3049,2387916,2576899
6/23/2020,3111.75,3145.75,3060,3118.5,1528485,2554985
6/22/2020,3040.25,3114.25,3027.25,3110.75,1392325,2563275
6/19/2020,3096.75,3144.75,3056.75,3059.5,1952273,2573281
